sequence_index,institutional_label,folio_id,child_oid,canvas_id,width_px,height_px,image_service_id,image_info_url,image_url,catalog_child_url,folio_status,notes
1,[Front cover],,1006074,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006074,2931,3865,https://collections.library.yale.edu/iiif/2/1006074,https://collections.library.yale.edu/iiif/2/1006074/info.json,https://collections.library.yale.edu/iiif/2/1006074/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006074,unresolved,Institutional label retained verbatim; folio mapping not inferred.
28,14v,,1006101,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006101,2812,3772,https://collections.library.yale.edu/iiif/2/1006101,https://collections.library.yale.edu/iiif/2/1006101/info.json,https://collections.library.yale.edu/iiif/2/1006101/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006101,unresolved,Institutional label retained verbatim; folio mapping not inferred.
29,15r,,1006102,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006102,2648,3729,https://collections.library.yale.edu/iiif/2/1006102,https://collections.library.yale.edu/iiif/2/1006102/info.json,https://collections.library.yale.edu/iiif/2/1006102/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006102,unresolved,Institutional label retained verbatim; folio mapping not inferred.
30,15v,,1006103,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006103,2835,3776,https://collections.library.yale.edu/iiif/2/1006103,https://collections.library.yale.edu/iiif/2/1006103/info.json,https://collections.library.yale.edu/iiif/2/1006103/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006103,unresolved,Institutional label retained verbatim; folio mapping not inferred.
31,16r,,1006104,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006104,2658,3758,https://collections.library.yale.edu/iiif/2/1006104,https://collections.library.yale.edu/iiif/2/1006104/info.json,https://collections.library.yale.edu/iiif/2/1006104/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006104,unresolved,Institutional label retained verbatim; folio mapping not inferred.
32,16v,,1006105,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006105,2840,3793,https://collections.library.yale.edu/iiif/2/1006105,https://collections.library.yale.edu/iiif/2/1006105/info.json,https://collections.library.yale.edu/iiif/2/1006105/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006105,unresolved,Institutional label retained verbatim; folio mapping not inferred.
33,17r,,1006106,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006106,2649,3743,https://collections.library.yale.edu/iiif/2/1006106,https://collections.library.yale.edu/iiif/2/1006106/info.json,https://collections.library.yale.edu/iiif/2/1006106/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006106,unresolved,Institutional label retained verbatim; folio mapping not inferred.
34,17v,,1006107,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006107,2843,3775,https://collections.library.yale.edu/iiif/2/1006107,https://collections.library.yale.edu/iiif/2/1006107/info.json,https://collections.library.yale.edu/iiif/2/1006107/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006107,unresolved,Institutional label retained verbatim; folio mapping not inferred.
35,18r,,1006108,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006108,2649,3743,https://collections.library.yale.edu/iiif/2/1006108,https://collections.library.yale.edu/iiif/2/1006108/info.json,https://collections.library.yale.edu/iiif/2/1006108/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006108,unresolved,Institutional label retained verbatim; folio mapping not inferred.
36,18v,,1006109,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006109,2846,3781,https://collections.library.yale.edu/iiif/2/1006109,https://collections.library.yale.edu/iiif/2/1006109/info.json,https://collections.library.yale.edu/iiif/2/1006109/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006109,unresolved,Institutional label retained verbatim; folio mapping not inferred.
37,19r,,1006110,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006110,2649,3743,https://collections.library.yale.edu/iiif/2/1006110,https://collections.library.yale.edu/iiif/2/1006110/info.json,https://collections.library.yale.edu/iiif/2/1006110/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006110,unresolved,Institutional label retained verbatim; folio mapping not inferred.
