child_oid,sequence_index,institutional_label,relation_index,side_id,folio_number,face,coverage,parse_status,rule_id
1006208,135,75r,1,75r,75,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006209,136,75v,1,75v,75,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006210,137,76r,1,76r,76,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006211,138,76v,1,76v,76,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006212,139,77r,1,77r,77,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006213,140,77v,1,77v,77,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006214,141,78r,1,78r,78,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006215,142,78v,1,78v,78,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006216,143,79r,1,79r,79,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006217,144,79v,1,79v,79,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006218,145,80r,1,80r,80,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006219,146,80v,1,80v,80,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006220,147,81r,1,81r,81,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006221,148,81v,1,81v,81,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006222,149,82r,1,82r,82,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006223,150,82v,1,82v,82,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006224,151,83r,1,83r,83,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006225,152,83v,1,83v,83,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
